instnm,Institution (entity) name (HD2018),Institution name alias (HD2018),Address,City location of institution (HD2018),State abbreviation (HD2018),ZIP code (HD2018),Total price for in-state students living on campus 2018-19 (DRVIC2018),Total price for in-state students living off campus (not with family)  2018-19 (DRVIC2018),Total price for out-of-state students living off campus (not with family)  2018-19 (DRVIC2018),Total price for in-state students living off campus (with family)  2018-19 (DRVIC2018),Number of students receiving a Doctor's degree (DRVC2018),Number of students receiving a Master's degree (DRVC2018),Number of students receiving a Bachelor's degree (DRVC2018),Number of students receiving an Associate's degree (DRVC2018),Graduation rate,Percent of full-time first-time undergraduates awarded any financial aid (SFA1718),Average amount of aid awarded,Applicants total (ADM2018),Admissions total (ADM2018),Enrolled total (ADM2018)
University of Wisconsin-Green Bay,University of Wisconsin-Green Bay, ,2420 Nicolet Dr,Green Bay,WI,54311-7001,19334,19334,27184,11222,0,127,1213,7,52,86,5185,3222,2532,1330
University of Wisconsin-La Crosse,University of Wisconsin-La Crosse, ,1725 State St,La Crosse,WI,54601-9959,17514,17514,26183,11183,43,290,1904,14,71,79,3083,6855,4843,2179
University of Wisconsin-Madison,University of Wisconsin-Madison, ,500 Lincoln Dr,Madison,WI,53706-1380,26025,26025,52275,14911,1480,2238,7188,0,87,62,8063,42727,22104,6862
University of Wisconsin-Milwaukee,University of Wisconsin-Milwaukee,UWM,2200 E Kenwood Blvd,Milwaukee,WI,53211,24486,24486,35765,13758,233,1154,3897,0,44,83,5560,11879,8794,4023
University of Wisconsin-Oshkosh,University of Wisconsin-Oshkosh, ,800 Algoma Blvd,Oshkosh,WI,54901,19493,19493,27066,11401,38,393,2080,0,53,82,4090,7635,5409,2433
University of Wisconsin-Parkside,University of Wisconsin-Parkside, ,900 Wood Rd,Kenosha,WI,53144,19597,20209,28198,11801,0,41,727,5,38,79,5233,2150,1443,649
University of Wisconsin-Platteville,University of Wisconsin-Platteville, ,1 University Plaza,Platteville,WI,53818-3099,19323,19217,27067,11721,0,272,1508,4,54,84,3170,3872,3189,1688
University of Wisconsin-River Falls,University of Wisconsin-River Falls, ,410 S 3rd St,River Falls,WI,54022-5001,17937,19225,26798,12625,0,166,1096,0,57,90,3207,3209,2409,1314
University of Wisconsin-Stevens Point,University of Wisconsin-Stevens Point,UW-Stevens Point,2100 Main St,Stevens Point,WI,54481-3897,19069,19069,27336,11647,6,104,1626,18,62,89,4114,4493,3742,1806
University of Wisconsin-Stout,University of Wisconsin-Stout, ,712 S. Broadway St.,Menomonie,WI,54751,19973,19973,27940,13049,14,348,1624,0,58,84,3677,2873,2589,1406
University of Wisconsin-Superior,University of Wisconsin-Superior, ,1605 Catlin Ave,Superior,WI,54880-4500,19711,19711,27284,14491,0,66,457,13,36,79,4597,1165,904,326
University of Wisconsin-Whitewater,University of Wisconsin-Whitewater, ,800 W Main St,Whitewater,WI,53190-1790,19062,20842,29415,11442,9,409,2215,100,58,80,4250,6386,4839,2188
University of Wyoming,University of Wyoming,UW,Corner of Ninth and Ivinson,Laramie,WY,82071,19960,19960,32050,8120,262,496,2065,0,57,96,8086,5293,5083,1859
Upper Cape Cod Regional Technical School,Upper Cape Cod Regional Technical School,Upper Cape Tech.,220 Sandwich Road,Bourne,MA,2532,,,,,,,,0,88,89,5192,39,13,13
Upper Iowa University,Upper Iowa University,UIU,605 Washington St,Fayette,IA,52142-1857,43750,43750,43750,35296,0,262,1100,144,43,99,22576,1791,904,173
Urbana University,Urbana University, ,579 College Way,Urbana,OH,43078-2091,39276,45086,45086,30406,0,51,96,0,25,100,15344,518,515,131
Ursinus College,Ursinus College, ,601 E. Main St,Collegeville,PA,19426-1000,68122,68122,68122,60742,0,0,384,0,79,97,34578,3361,2382,378
Ursuline College,Ursuline College, ,2550 Lander Rd,Pepper Pike,OH,44124,46166,44590,44590,38140,7,141,162,0,44,100,26092,528,477,96
Utah State University,Utah State University, ,Old Main Hill,Logan,UT,84322-1400,20504,21308,35486,10986,107,957,3717,1328,50,86,8209,15099,13446,4429
Utica College,Utica College, ,1600 Burrstone Rd,Utica,NY,13502-4892,35794,36022,36022,25684,312,466,822,0,54,97,9213,4224,3566,588
Valdosta State University,Valdosta State University,VSU |Valdosta State |Valdosta State College |V-State,1500 N Patterson St,Valdosta,GA,31698,21320,21690,32476,13122,44,668,1512,22,42,90,8640,6557,4105,1662
Valley City State University,Valley City State University, ,101 College St SW,Valley City,ND,58072,18750,18981,28521,12304,0,33,241,0,41,99,6078,460,339,165
Valparaiso University,Valparaiso University,Valpo|VU,US Highway 30 and Sturdy Road,Valparaiso,IN,46383,54940,51980,51980,43080,115,281,681,0,71,100,27304,7062,6307,756
Vanderbilt University,Vanderbilt University, ,2101 West End Avenue,Nashville,TN,37240,70146,,,,660,1476,1716,0,94,72,43796,34313,3298,1602
VanderCook College of Music,VanderCook College of Music, ,3140 South Federal Street,Chicago,IL,60616-3731,,40883,40883,33383,0,55,27,0,43,100,14694,29,27,13
Vanguard University of Southern California,Vanguard University of Southern California,Vanguard University,55 Fair Dr,Costa Mesa,CA,92626,48800,54110,54110,39680,0,105,460,5,64,100,24192,4414,1773,461
Vassar College,Vassar College, ,124 Raymond Ave,Poughkeepsie,NY,12604,72760,73260,73260,59210,0,0,585,0,92,79,45689,8312,2043,686
Veeb Nassau County School of Practical Nursing,Veeb Nassau County School of Practical Nursing, ,30 East Cherry Street,Hicksville,NY,11801-4302,,38844,38844,24984,,,,0,69,60,5856,99,67,35
Veritas Baptist College,Veritas Baptist College,VBC,181 US 50 E.  Suite 204,Greendale,IN,47025,,21424,21424,10680,0,11,19,6,67,76,4456,82,75,33
Vermont Technical College,Vermont Technical College,VT Tech |VTC,124 Admin Drive,Randolph,VT,5061,28356,28356,41028,22568,0,1,124,320,51,95,7038,931,635,230
Vet Tech Institute of Houston,Vet Tech Institute of Houston,Bradford School|The Bradford School,4669 Southwest Fwy Ste 100,Houston,TX,77027,,22650,22650,17650,,,,138,73,75,5507,84,52,29
Villa Maria College,Villa Maria College,Villa,240 Pine Ridge Rd,Buffalo,NY,14225-3999,,33810,33810,26810,0,0,51,41,37,98,16950,406,303,131
Villanova University,Villanova University, ,800 Lancaster Avenue,Villanova,PA,19085-1699,70728,70728,70728,58358,200,1199,1749,0,91,64,31098,22741,6645,1688
Virginia Commonwealth University,Virginia Commonwealth University,VCU,910 W Franklin St,Richmond,VA,23284-2512,32041,32041,53382,20535,763,1408,4828,0,67,81,10203,16549,14273,4529
Virginia International University,Virginia International University, ,4401 Village Drive,Fairfax,VA,22030-0000,,23680,23680,12858,0,212,11,0,50,17,4460,81,45,4
Virginia Military Institute,Virginia Military Institute,VMI,VMI Parade,Lexington,VA,24450-0304,31494,,,,0,0,427,0,78,94,17188,1768,907,475
Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University,Virginia Tech,210 Burruss Hall  800 Drillfield Dr.,Blacksburg,VA,24061-0131,26834,26834,45122,17900,594,1516,5753,40,84,67,8191,31936,20709,6285
Virginia State University,Virginia State University,VSU,1 Hayden Drive,Petersburg,VA,23806,23239,23239,34490,16863,13,126,731,0,39,92,5889,7007,6383,930
Virginia Union University,Virginia Union University,VUU,1500 N Lombardy St,Richmond,VA,23220,31358,33218,33218,25814,16,92,204,0,33,89,9147,6397,2799,185
Virginia Wesleyan University,Virginia Wesleyan University,VWC|Marlins|VA Wesleyan|Wesleyan,5817 Wesleyan Drive,Virginia Beach,VA,23455,50517,50637,50637,41380,0,2,296,0,52,100,24138,2656,1870,354
Visible Music College,Visible Music College, ,200 Madison Ave,Memphis,TN,38103,30500,30500,30500,19950,0,0,20,0,41,100,5084,59,59,38
Viterbo University,Viterbo University,Viterbo,900 Viterbo Drive,La Crosse,WI,54601-8804,40530,40530,40530,30970,18,246,434,5,62,100,17941,1372,1040,294
Voorhees College,Voorhees College, ,481 Porter Drive,Denmark,SC,29042,26336,27630,27630,18530,0,0,65,0,43,93,8474,7212,4720,149
Wabash College,Wabash College, ,301 West Wabash Avenue,Crawfordsville,IN,47933-0352,57250,54550,54550,47200,0,0,199,0,71,100,32499,1336,868,274
Wagner College,Wagner College, ,One Campus Rd,Staten Island,NY,10301-4495,64382,64382,64382,50258,9,199,449,0,69,100,27841,2898,2023,418
Wake Forest University,Wake Forest University, ,1834 Wake Forest Road,Winston-Salem,NC,27106,71638,71638,71638,56592,295,892,1194,0,89,46,41719,12937,3803,1421
Waldorf University,Waldorf University, ,106 S Sixth St,Forest City,IA,50436-1713,34039,34039,34039,26515,0,133,573,146,29,100,13353,1071,808,253
Walla Walla University,Walla Walla University,Walla Walla College,204 S College Ave,College Place,WA,99324-1198,37890,37890,37890,30435,0,89,327,17,57,100,14464,2220,1127,404
Walsh University,Walsh University, ,2020 East Maple St,North Canton,OH,44720-3396,44236,42526,42526,33400,35,147,471,4,59,100,21511,1770,1377,453
Warner Pacific University,Warner Pacific University, ,2219 SE 68th Ave,Portland,OR,97215,31840,34252,34252,31840,0,7,92,1,46,90,13730,508,495,66
Warner University,Warner University, ,13895 Hwy 27,Lake Wales,FL,33859-8797,33568,38951,38951,28804,0,62,192,65,32,100,16240,1359,481,204
Warren Wilson College,Warren Wilson College,Warren Wilson  WWC,701 Warren Wilson Rd,Swannanoa,NC,28778-2099,51100,53100,53100,42120,0,28,137,0,52,99,22038,1013,867,251
Warrensburg Area Career Center,Warrensburg Area Career Center, ,205 S. Ridgeview Dr,Warrensburg,MO,64093,,,,,,,,0,85,94,8298,16,15,15
Wartburg College,Wartburg College, ,100 Wartburg Blvd.,Waverly,IA,50677-0903,53675,53675,53675,43680,0,0,361,0,67,100,29213,4298,3254,469
Washburn Institute of Technology,Washburn Institute of Technology,Washburn Tech,5724 SW Huntoon,Topeka,KS,66604-2117,,23527,23527,12491,,,,0,77,74,3789,799,477,268
